scenario,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown
760,1.4232798098679833,1.4232798098679833,18.30442558671571,0.16829373383769958,-16.90948333159614
761,13.40751713310282,13.40751713310282,18.552797286692964,0.7704614212941581,-13.669026488605912
762,1.365640191298878,1.365640191298878,18.19294067839257,0.16531254701714762,-14.681042718897485
763,-17.93464266768381,-17.93464266768381,22.81081141107243,-0.7534656633366675,-21.445345144587797
764,24.36777905761489,24.36777905761489,18.505343306389094,1.2709722931145766,-12.093718320922903
765,58.100428754526014,58.100428754526014,22.352118093963735,2.163125508412,-17.543608890231212
766,-16.537220916176242,-16.537220916176242,27.487418360347583,-0.5139013735923333,-25.016627726344375
767,20.056871417844825,20.056871417844825,25.265098069367003,0.8489326037554101,-21.21907961298565
768,29.59914844171736,29.59914844171736,20.228968795855813,1.3844398845772665,-10.508049548987408
769,-30.45570655119296,-30.45570655119296,25.936599654297897,-1.26419820760044,-40.417491849787154
770,-38.37036114404412,-38.37036114404412,19.216911156299272,-2.420479929716016,-40.545902788845865
771,4.2649617416033125,4.2649617416033125,19.354740685739223,0.31213102375283563,-18.312092026726013
772,-6.597268967028802,-6.597268967028802,21.726539894829784,-0.20606653481900658,-25.27052006889734
773,-7.76017734562926,-7.76017734562926,19.48913577408993,-0.31663771213717995,-30.872751811000548
774,53.27281322843116,53.27281322843116,22.52493097470406,2.0087454619511558,-13.702046107877322
775,27.63759601379714,27.63759601379714,21.004975999195512,1.2660943883693094,-18.39637556558073
776,47.45543443505418,47.45543443505418,21.26019952408406,1.9339731279288308,-14.936816592476129
777,-24.066481633441704,-24.066481633441704,19.45346740037897,-1.317123658949873,-30.818534274774922
778,-15.312914498131835,-15.312914498131835,26.593271317664968,-0.4933413202517428,-33.70977508299157
779,35.06751092776681,35.06751092776681,18.309418304326293,1.7340304344893764,-13.524475823939062
780,-6.504675729662191,-6.504675729662191,17.629983230929373,-0.2935848381268012,-22.775848903176307
781,-22.224373194938895,-22.224373194938895,19.88118176536584,-1.1636597014123176,-23.95628307682779
782,-2.630837418439802,-2.630837418439802,24.0582566893073,0.012365494264287838,-27.398358390015453
783,20.71691699479703,20.71691699479703,17.5604885882422,1.160084461275824,-13.029381441926228
784,-24.441293722163635,-24.441293722163635,20.38494147524121,-1.270531676502443,-30.670411199102794
785,-3.664354590615404,-3.664354590615404,19.24989645301135,-0.09792685428386701,-17.715343075074607
786,-4.55941788521902,-4.55941788521902,19.119140720203006,-0.1491004515405036,-19.748609468124506
787,9.018806986960314,9.018806986960314,19.370330618072362,0.5419929094047249,-15.510919532638875
788,-13.757682052434372,-13.757682052434372,19.41076409790936,-0.6657589746186253,-28.943619838247052
789,-33.32194349791611,-33.32194349791611,25.761018350638672,-1.4399062170686157,-47.10593593185198
790,2.173002516103084,2.173002516103084,17.820421119859343,0.20909875453875268,-13.609695608614489
791,26.220145424736273,26.220145424736273,20.178190214756892,1.2550663996320175,-13.21842834845299
792,5.2454672636837785,5.2454672636837785,18.724214881769402,0.36646165396754843,-18.863486504664635
