Date,WTI,XLE,XOM,CVX,IEF,SHY,SPY,FEDFUNDS,CPIAUCSL,INDPRO,UNRATE,T10Y2Y,DCOILWTICO,DGS10,VIXCLS,WTI_RETURN,XLE_RETURN,XOM_RETURN,CVX_RETURN,IEF_RETURN,SHY_RETURN,SPY_RETURN,FEDFUNDS_3M_CHANGE,FEDFUNDS_CHANGE,INFLATION_YOY,INDPRO_YOY
2024-09-09,68.70999908447266,83.15440368652344,110.03424835205078,132.73033142089844,94.25141143798828,79.2861099243164,538.1959228515625,5.13,314.851,102.5954,4.1,-0.17,77.74,3.99,18.59,0.01525181253292539,0.007182487021813641,0.020822245750905324,0.012479753448550582,0.0014222831472051486,0.00012028988143714583,0.011133784792075352,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-10,65.75,81.72419738769531,106.02552032470703,130.77197265625,94.6532974243164,79.40078735351562,540.5402221679688,5.13,314.851,102.5954,4.1,,,,,-0.04403506466059675,-0.017349033317301626,-0.03711184307367025,-0.014864346856173275,0.004254913443608607,0.001445329779958674,0.004346388165001128,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-11,67.30999755859375,80.96588134765625,104.9731216430664,130.44088745117188,94.58631896972656,79.33391571044922,546.0856323242188,5.13,314.851,102.5954,4.1,,,,,0.023449106693669394,-0.0093222836661221,-0.009975489878630492,-0.0025349853161305076,-0.0007078692999162244,-0.0008425586306165782,0.010206748303633287,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-12,68.97000122070312,81.69539642333984,106.41778564453125,131.69912719726562,94.4332046508789,79.34346771240234,550.6854248046875,5.13,314.851,102.5954,4.1,,,,,0.024362867390701433,0.008969804945767806,0.01366838821522518,0.009599827105370173,-0.0016200903420412359,0.00012039525430294134,0.008387930041821026,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-13,68.6500015258789,82.1561279296875,106.34124755859375,133.02357482910156,94.6150131225586,79.45812225341797,553.5615234375,5.13,314.851,102.5954,4.1,,,,,-0.00465049070133241,0.005623783147091186,-0.0007194814536134258,0.01000638534468252,0.0019234090632649133,0.0014439976446428329,0.005209170178961895,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-16,70.08999633789062,83.09680938720703,107.83375549316406,134.42372131347656,94.86380004882812,79.50592041015625,554.3790283203125,5.13,314.851,102.5954,4.1,,,,,0.02075892382264858,0.011384870167243606,0.013937500396260606,0.010470543515058217,0.0026260146459020643,0.0006013706921122988,0.0014757200282552762,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-17,71.19000244140625,84.2198715209961,109.24015808105469,135.67251586914062,94.69158172607422,79.44856262207031,554.6055297851562,5.13,314.851,102.5954,4.1,,,,,0.015572315146450825,0.0134245909508874,0.012958003509029661,0.009247099976369385,-0.0018170770835073688,-0.0007216882403221738,0.0004084844398196935,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-18,70.91000366210938,84.38306427001953,109.62284851074219,136.19285583496094,94.2801284790039,79.419921875,552.960693359375,5.13,314.851,102.5954,4.1,,,,,-0.00394087444963749,0.0019358239430455168,0.003497080896937045,0.0038279284922430948,-0.004354661306977139,-0.00036055920683408327,-0.002970183814993817,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-19,71.94999694824219,85.39092254638672,110.9814224243164,137.16726684570312,94.20356750488281,79.48681640625,562.3966064453125,5.13,314.851,102.5954,4.1,,,,,0.014559871958021912,0.011873080618034063,0.012316997158431646,0.007129168133398452,-0.0008123883387593004,0.0008419345324820236,0.016920386339447844,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
2024-09-20,71.91999816894531,85.1989517211914,110.28299713134766,137.8200225830078,94.17485809326172,79.5154800415039,561.4243774414062,5.13,314.851,102.5954,4.1,,,,,-0.0004170262146349265,-0.002250671759453336,-0.006313058502562287,0.004747542802488477,-0.0003048057308283005,0.0003605436676673276,-0.0017302208454725893,-0.20000000000000018,0.0,2.432541464144644,-0.6898781412106092
